Table name,Field name,Data type,Decimal digits,Field size,Column start,Column end,Description,Codes,Changes,Hand book section,Notes
POINT,SAGE_EXISTS,character,,1,285,285,(Deprecated),yn,Added for 2011,,"Only used in 2011 and replaced in 2012 with the ability to select ""All none"" to set every shape entry to zero.  2011 sagebrush shape data was later backfilled to match later years."
POINT,PERENNIAL_CANOPY_GAPS_NESW,character,,1,287,287,Gap Intercept - Are there any perennial canopy gaps on northeast to southwest transect?,yn,Added for 2012,10,
POINT,PERENNIAL_CANOPY_GAPS_NWSE,character,,1,289,289,Gap Intercept - Are there any perennial canopy gaps on northwest to southeast transect?,yn,Added for 2012,10,
POINT,COMPONENT_HISTORICAL,character,,100,291,390,Soil - Concatenated component name and component id that was chosen the last time the point was observed in the grazing land surveys,,Added for 2012,7.6,Not filled unless the captured field location is 50 feet or less from the target location the last time the point was observed
POINT,COMPONENT_CHOSEN,character,,15,392,406,Soil - Cokey column from the soilcomponent table of the chosen soil component at the point,,Added for 2012,7.6,
POINT,COMPONENT_POPULATED,character,,1,408,408,Soil - Populated column from the soilcomponent table of the chosen soil component at the point,yn,Added for 2012,7.6,
POINT,LANDUSE_SOURCE,character,,8,410,417,Point Location - Resource used to make the land cover/use determination,landusesource,Added for 2014,6.5.2,
POINT,GAPS_DIFFERENT_NESW,character,,1,419,419,Gap Intercept - Are the all-foliar canopy gaps different than the perennial canopy gaps on the NE-SW transect?,yn,Added for 2016,10,Note: If answered N then you should only find perennial gap data in the gintercept table and you will need to infer the all-foliar gaps
POINT,GAPS_DIFFERENT_NWSE,character,,1,421,421,Gap Intercept - Are the all-foliar canopy gaps different than the perennial canopy gaps on the NW-SE transect?,yn,Added for 2016,10,Note: If answered N then you should only find perennial gap data in the gintercept table and you will need to infer the all-foliar gaps
POINTCOORDINATES,SURVEY,numeric,,4,1,4,Sample survey year,,,,
POINTCOORDINATES,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
POINTCOORDINATES,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
POINTCOORDINATES,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
POINTCOORDINATES,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
POINTCOORDINATES,TARGET_LATITUDE,numeric,7,11,25,35,Target latitude of the point in decimal degrees,,,3.5,
POINTCOORDINATES,TARGET_LONGITUDE,numeric,7,11,37,47,Target longitude of the point in positive decimal degrees (west longitudes are assumed),,,3.5,
POINTCOORDINATES,FIELD_LATITUDE,numeric,7,11,49,59,Field determined latitude of the point in decimal degrees,,,3.5,
POINTCOORDINATES,FIELD_LONGITUDE,numeric,7,11,61,71,Field determined logitude of the point in positive decimal degrees (west longitudes are assumed),,,3.5,
PRACTICE,SURVEY,numeric,,4,1,4,Sample survey year,,,,
PRACTICE,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
PRACTICE,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
PRACTICE,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
PRACTICE,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
PRACTICE,P314,character,,1,25,25,Conservation practice 314 Brush Management present,yn,,18.5,
PRACTICE,N314,character,,1,27,27,Conservation practice 314 Brush Management needed,yn,,18.5,
PRACTICE,P338,character,,1,29,29,Conservation practice 338 Prescribed Burning present,yn,,18.5,
PRACTICE,N338,character,,1,31,31,Conservation practice 338 Prescribed Burning needed,yn,,18.5,
PRACTICE,P378,character,,1,33,33,Conservation practice 378 Pond present,yn,,18.5,
PRACTICE,N378,character,,1,35,35,Conservation practice 378 Pond needed,yn,,18.5,
PRACTICE,P380,character,,1,37,37,Conservation practice 380 Windbreak/Shelterbelt Establishment present,yn,,18.5,
PRACTICE,N380,character,,1,39,39,Conservation practice 380 Windbreak/Shelterbelt Establishment needed,yn,,18.5,
PRACTICE,P381,character,,1,41,41,Conservation practice 381 Silvopasture Establishment present,yn,,18.5,Only collected for Pasture/Grass protocols; Not collected after 2014
PRACTICE,N381,character,,1,43,43,Conservation practice 381 Silvopasture Establishment needed,yn,,18.5,Only collected for Pasture/Grass protocols; Not collected after 2014
PRACTICE,P382,character,,1,45,45,Conservation practice 382 Fence present,yn,,18.5,
PRACTICE,N382,character,,1,47,47,Conservation practice 382 Fence needed,yn,,18.5,
PRACTICE,P390,character,,1,49,49,Conservation practice 390 Riparian Herbaceous Cover present,yn,,18.5,
PRACTICE,N390,character,,1,51,51,Conservation practice 390 Riparian Herbaceous Cover needed,yn,,18.5,
PRACTICE,P393,character,,1,53,53,Conservation practice 393 Filter Strip present,yn,,18.5,Only collected for Pasture/grassland protocols
PRACTICE,N393,character,,1,55,55,Conservation practice 393 Filter Strip needed,yn,,18.5,Only collected for Pasture/grassland protocols
PRACTICE,P449,character,,1,57,57,Conservation practice 449 Irrigation Water Management present,yn,,18.5,Only collected for Pasture/grassland protocols
PRACTICE,N449,character,,1,59,59,Conservation practice 449 Irrigation Water Management needed,yn,,18.5,Only collected for Pasture/grassland protocols
PRACTICE,P512,character,,1,61,61,Conservation practice 512 Forage and Biomass Planting present,yn,,18.5,Only collected for Pasture/grassland protocols; Named changed from Pasture and Hayland Planting to Forage and Biomass Planting in 2015
PRACTICE,N512,character,,1,63,63,Conservation practice 512 Forage and Biomass Planting needed,yn,,18.5,Only collected for Pasture/grassland protocols; Named changed from Pasture and Hayland Planting to Forage and Biomass Planting in 2015
PRACTICE,P516,character,,1,65,65,Conservation practice 516 Pipeline present,yn,,18.5,
PRACTICE,N516,character,,1,67,67,Conservation practice 516 Pipeline needed,yn,,18.5,
PRACTICE,P528,character,,1,69,69,Conservation practice 528 Prescribed Grazing present,yn,,18.5,
PRACTICE,N528,character,,1,71,71,Conservation practice 528 Prescribed Grazing needed,yn,,18.5,
PRACTICE,P548,character,,1,73,73,Conservation practice 548 Grazing Land Mechanical Treatment present,yn,,18.5,
PRACTICE,N548,character,,1,75,75,Conservation practice 548 Grazing Land Mechanical Treatment needed,yn,,18.5,
PRACTICE,P550,character,,1,77,77,Conservation practice 550 Range Planting present,yn,,18.5,Only collected for Range protocols
PRACTICE,N550,character,,1,79,79,Conservation practice 550 Range Planting needed,yn,,18.5,Only collected for Range protocols
PRACTICE,P574,character,,1,81,81,Conservation practice 574 Spring Development present,yn,,18.5,
PRACTICE,N574,character,,1,83,83,Conservation practice 574 Spring Development needed,yn,,18.5,
PRACTICE,P575,character,,1,85,85,Conservation practice 575 Trails and Walkways present,yn,,18.5,Named changed from Animal Trails and Walkways to Trails and Walkways in 2019
PRACTICE,N575,character,,1,87,87,Conservation practice 575 Trails and Walkways needed,yn,,18.5,Named changed from Animal Trails and Walkways to Trails and Walkways in 2019
PRACTICE,P590,character,,1,89,89,Conservation practice 590 Nutrient Management present,yn,,18.5,Not collected after 2010 (retroactively removed)
PRACTICE,N590,character,,1,91,91,Conservation practice 590 Nutrient Management needed,yn,,18.5,Not collected after 2010 (retroactively removed)
PRACTICE,P595,character,,1,93,93,Conservation practice 595 Pest Management present,yn,,18.5,Not collected after 2010 (retroactively removed)
PRACTICE,N595,character,,1,95,95,Conservation practice 595 Pest Management needed,yn,,18.5,Not collected after 2010 (retroactively removed)
PRACTICE,P614,character,,1,97,97,Conservation practice 614 Watering Facility present,yn,,18.5,
PRACTICE,N614,character,,1,99,99,Conservation practice 614 Watering Facility needed,yn,,18.5,
PRACTICE,P642,character,,1,101,101,Conservation practice 642 Water Well present,yn,,18.5,
PRACTICE,N642,character,,1,103,103,Conservation practice 642 Water Well needed,yn,,18.5,
PRACTICE,P648,character,,1,105,105,Conservation practice 648 Wildlife Watering Facility present,yn,,18.5,Not collected after 2014
PRACTICE,N648,character,,1,107,107,Conservation practice 648 Wildlife Watering Facility needed,yn,,18.5,Not collected after 2014
PRACTICE,P666,character,,1,109,109,Conservation practice 666 Forest Stand Improvement present,yn,,18.5,Only collected for Pasture/Grass protocols
PRACTICE,N666,character,,1,111,111,Conservation practice 666 Forest Stand Improvement needed,yn,,18.5,Only collected for Pasture/Grass protocols
PRODUCTION,SURVEY,numeric,,4,1,4,Sample survey year,,,,
PRODUCTION,STATE,character,,2,6,7,Numerical FIPS state code,,,,
PRODUCTION,COUNTY,character,,3,9,11,Numerical FIPS county code,,,,
PRODUCTION,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
PRODUCTION,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
PRODUCTION,SEQNUM,numeric,,2,25,26,Sequence numeric,,,,
PRODUCTION,PPLANT,character,,7,28,34,Plant symbol from plants database,plant symbol or unknownplantprefix + sequence numeric,,,
PRODUCTION,WOODY,character,,1,36,36,"Woody plant flag, ""Y"" if woody, null if not","""Y"" or null",,14.5,
PRODUCTION,AW0125NESW,numeric,1,7,38,44,Actual weight of harvested vegetation at the 12.5 foot mark of the northeast to southwest transect,"0-99999, or 0.1 for Trace",,14.5,
PRODUCTION,AW0375NESW,numeric,1,7,46,52,Actual weight of harvested vegetation at the 37.5 foot mark of the northeast to southwest transect,"0-99999, or 0.1 for Trace",,14.5,
PRODUCTION,AW0625NESW,numeric,1,7,54,60,Actual weight of harvested vegetation at the 62.5 foot mark of the northeast to southwest transect,"0-99999, or 0.1 for Trace",,14.5,
PRODUCTION,AW1125NESW,numeric,1,7,62,68,Actual weight of harvested vegetation at the 112.5 foot mark of the northeast to southwest transect,"0-99999, or 0.1 for Trace",,14.5,
PRODUCTION,AW1375NESW,numeric,1,7,70,76,Actual weight of harvested vegetation at the 137.5 foot mark of the northeast to southwest transect,"0-99999, or 0.1 for Trace",,14.5,
PRODUCTION,AW0125NWSE,numeric,1,7,78,84,Actual weight of harvested vegetation at the 12.5 foot mark of the northwest to southeast transect,"0-99999, or 0.1 for Trace",,14.5,
PRODUCTION,AW0375NWSE,numeric,1,7,86,92,Actual weight of harvested vegetation at the 37.5 foot mark of the northwest to southeast transect,"0-99999, or 0.1 for Trace",,14.5,
PRODUCTION,AW0625NWSE,numeric,1,7,94,100,Actual weight of harvested vegetation at the 62.5 foot mark of the northwest to southeast transect,"0-99999, or 0.1 for Trace",,14.5,
PRODUCTION,AW1125NWSE,numeric,1,7,102,108,Actual weight of harvested vegetation at the 112.5 foot mark of the northwest to southeast transect,"0-99999, or 0.1 for Trace",,14.5,
PRODUCTION,AW1375NWSE,numeric,1,7,110,116,Actual weight of harvested vegetation at the 137.5 foot mark of the northwest to southeast transect,"0-99999, or 0.1 for Trace",,14.5,
PRODUCTION,DRY_WEIGHT_PERCENT,numeric,,3,118,120,Percent of air-dry weight,5-100 by 5's,,14.6,
PRODUCTION,UNGRAZED_PERCENT,numeric,,3,122,124,Percent of plant biomass that has not been removed (percent ungrazed),10-100 by 10's,,14.6,
PRODUCTION,GROWTH_PERCENT,numeric,,3,126,128,Percent of growth that has occurred for the current growing season,10-100 by 10's,,14.6,
PRODUCTION,CLIMATE_PERCENT,numeric,,3,130,132,Percent of growth that has occurred relative to normal growing conditions,5-195 by 5's,,14.6,
PRODUCTION,RECON_FACTOR,numeric,2,5,134,138,Calculated reconstruction factor,,,14.6,
PRODUCTION,TOTAL_WEIGHT,numeric,1,7,140,146,Calculated total actual weight from all plots,,,14.6,
PRODUCTION,RECON_WEIGHT,numeric,1,8,148,155,Calculated reconstruction weight,,,14.6,
PRODUCTION,ALLOW_PERCENT,numeric,1,5,157,161,Percent allowable of this species from ESD,0.0 to 100.0,,14.6,
PRODUCTION,ALLOW_POUNDS,numeric,1,8,163,170,Pounds allowable calculated from Percent Allowable and Total Annual Production,,,14.6,
PRODUCTION,ALLOW_PRODUCTION,numeric,1,8,172,179,Calculated allowable production (minimum of Reconstruction Weight and Pounds Allowable),,,14.6,
PTNOTE,SURVEY,numeric,,4,1,4,Sample survey year,,,,
PTNOTE,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
PTNOTE,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
PTNOTE,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
PTNOTE,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
PTNOTE,PTSECTION,character,,20,25,44,Section associated with point note,"ptsection or ""unknownPlant"" + unknownplantprefix + sequence numeric",,A.2.5.4,
PTNOTE,PTNOTE,character,,2000,46,2045,Point note,,,A.2.5.4,
RANGEHEALTH,SURVEY,numeric,,4,1,4,Sample survey year,,,,
RANGEHEALTH,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
RANGEHEALTH,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
RANGEHEALTH,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
RANGEHEALTH,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
RANGEHEALTH,RILLS,character,,2,25,26,Rangeland Health Indicator - Rills,rangehealth,,20.5,
RANGEHEALTH,WATER_FLOW_PATTERNS,character,,2,28,29,Rangeland Health Indicator - Waterflow patterns,rangehealth,,20.5,
RANGEHEALTH,PEDESTALS_TERRACETTES,character,,2,31,32,Rangeland Health Indicator - Pedestals and/or terracettes,rangehealth,,20.5,
RANGEHEALTH,BARE_GROUND,character,,2,34,35,Rangeland Health Indicator - Bare ground,rangehealth,,20.5,
RANGEHEALTH,GULLIES,character,,2,37,38,Rangeland Health Indicator - Gullies,rangehealth,,20.5,
RANGEHEALTH,WIND_SCOURED_AREAS,character,,2,40,41,"Rangeland Health Indicator - Wind-scoured blowouts, and/or deposition areas",rangehealth,,20.5,
RANGEHEALTH,LITTER_MOVEMENT,character,,2,43,44,Rangeland Health Indicator - Litter movement (wind or water),rangehealth,,20.5,
RANGEHEALTH,SOIL_SURF_RESIS_EROSION,character,,2,46,47,Rangeland Health Indicator - Soil surface resistance to erosion,rangehealth,,20.5,
RANGEHEALTH,SOIL_SURFACE_LOSS_DEG,character,,2,49,50,Rangeland Health Indicator - Soil surface loss or degradation,rangehealth,,20.5,
RANGEHEALTH,INFILTRATION_RUNOFF,character,,2,52,53,Rangeland Health Indicator - Plant community composition and distribution relative to infiltration and runoff,rangehealth,,20.5,
RANGEHEALTH,COMPACTION_LAYER,character,,2,55,56,Rangeland Health Indicator - Compaction layer (below soil surface),rangehealth,,20.5,
RANGEHEALTH,FUNC_STRUCT_GROUPS,character,,2,58,59,Rangeland Health Indicator - Functional/structural groups (F/S groups),rangehealth,,20.5,
RANGEHEALTH,PLANT_MORTALITY_DEC,character,,2,61,62,Rangeland Health Indicator - Plant mortality/decadence,rangehealth,,20.5,
RANGEHEALTH,LITTER_AMOUNT,character,,2,64,65,Rangeland Health Indicator - Litter amount,rangehealth,,20.5,
RANGEHEALTH,ANNUAL_PRODUCTION,character,,2,67,68,Rangeland Health Indicator - Annual production,rangehealth,,20.5,
RANGEHEALTH,INVASIVE_PLANTS,character,,2,70,71,Rangeland Health Indicator - Invasive plants,rangehealth,,20.5,
RANGEHEALTH,REPROD_CAPABILITY_PEREN,character,,2,73,74,Rangeland Health Indicator - Reproductive capability of perennial plants (native or seeded),rangehealth,,20.5,
RANGEHEALTH,SOILSITE_STABILITY,character,,2,76,77,Soil/site stability - Data gatherer final rating of departure from refence conditions based on preponderance of evidence,rangehealth,Added for 2014,20.5,
RANGEHEALTH,BIOTIC_INTEGRITY,character,,2,79,80,Integrity of the biotic community - Data gatherer final rating of departure from refence conditions based on preponderance of evidence,rangehealth,Added for 2014,20.5,
RANGEHEALTH,HYDROLOGIC_FUNCTION,character,,2,82,83,Hydrologic function - Data gatherer final rating of departure from refence conditions based on preponderance of evidence,rangehealth,Added for 2014,20.5,
RELATIVEYIELDS,SURVEY,numeric,,4,1,4,Sample survey year,,,,
RELATIVEYIELDS,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
RELATIVEYIELDS,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
RELATIVEYIELDS,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
RELATIVEYIELDS,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
RELATIVEYIELDS,RY1_NESW,numeric,,1,25,25,Relative yield category for quadrat at the 12.5 foot mark of the northeast to southwest transect,relyield,,13.6.3,
RELATIVEYIELDS,RY2_NESW,numeric,,1,27,27,Relative yield category for quadrat at the 25.0 foot mark of the northeast to southwest transect,relyield,,13.6.3,
RELATIVEYIELDS,RY3_NESW,numeric,,1,29,29,Relative yield category for quadrat at the 37.5 foot mark of the northeast to southwest transect,relyield,,13.6.3,
RELATIVEYIELDS,RY4_NESW,numeric,,1,31,31,Relative yield category for quadrat at the 50.0 foot mark of the northeast to southwest transect,relyield,,13.6.3,
RELATIVEYIELDS,RY5_NESW,numeric,,1,33,33,Relative yield category for quadrat at the 62.5 foot mark of the northeast to southwest transect,relyield,,13.6.3,
RELATIVEYIELDS,RY6_NESW,numeric,,1,35,35,Relative yield category for quadrat at the 87.5 foot mark of the northeast to southwest transect,relyield,,13.6.3,
RELATIVEYIELDS,RY7_NESW,numeric,,1,37,37,Relative yield category for quadrat at the 100.0 foot mark of the northeast to southwest transect,relyield,,13.6.3,
RELATIVEYIELDS,RY8_NESW,numeric,,1,39,39,Relative yield category for quadrat at the 112.5 foot mark of the northeast to southwest transect,relyield,,13.6.3,
RELATIVEYIELDS,RY9_NESW,numeric,,1,41,41,Relative yield category for quadrat at the 125.0 foot mark of the northeast to southwest transect,relyield,,13.6.3,
RELATIVEYIELDS,RY10_NESW,numeric,,1,43,43,Relative yield category for quadrat at the 137.5 foot mark of the northeast to southwest transect,relyield,,13.6.3,
RELATIVEYIELDS,RY1_NWSE,numeric,,1,45,45,Relative yield category for quadrat at the 12.5 foot mark of the northwest to southeast transect,relyield,,13.6.3,
RELATIVEYIELDS,RY2_NWSE,numeric,,1,47,47,Relative yield category for quadrat at the 25.0 foot mark of the northwest to southeast transect,relyield,,13.6.3,
RELATIVEYIELDS,RY3_NWSE,numeric,,1,49,49,Relative yield category for quadrat at the 37.5 foot mark of the northwest to southeast transect,relyield,,13.6.3,
RELATIVEYIELDS,RY4_NWSE,numeric,,1,51,51,Relative yield category for quadrat at the 50.0 foot mark of the northwest to southeast transect,relyield,,13.6.3,
RELATIVEYIELDS,RY5_NWSE,numeric,,1,53,53,Relative yield category for quadrat at the 62.5 foot mark of the northwest to southeast transect,relyield,,13.6.3,
RELATIVEYIELDS,RY6_NWSE,numeric,,1,55,55,Relative yield category for quadrat at the 87.5 foot mark of the northwest to southeast transect,relyield,,13.6.3,
RELATIVEYIELDS,RY7_NWSE,numeric,,1,57,57,Relative yield category for quadrat at the 100.0 foot mark of the northwest to southeast transect,relyield,,13.6.3,
RELATIVEYIELDS,RY8_NWSE,numeric,,1,59,59,Relative yield category for quadrat at the 112.5 foot mark of the northwest to southeast transect,relyield,,13.6.3,
RELATIVEYIELDS,RY9_NWSE,numeric,,1,61,61,Relative yield category for quadrat at the 125.0 foot mark of the northwest to southeast transect,relyield,,13.6.3,
RELATIVEYIELDS,RY10_NWSE,numeric,,1,63,63,Relative yield category for quadrat at the 137.5 foot mark of the northwest to southeast transect,relyield,,13.6.3,
RHSUMMARY,SURVEY,numeric,,4,1,4,Sample survey year,,,,
RHSUMMARY,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
RHSUMMARY,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
RHSUMMARY,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
RHSUMMARY,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
RHSUMMARY,SOILSITE_EXTREME,numeric,,2,25,26,"Calculated Indicator Summary, Soil/Site Stability, Extreme",0-9,,20.5,
RHSUMMARY,SOILSITE_MODERATE_TO_EXTREME,numeric,,2,28,29,"Calculated Indicator Summary, Soil/Site Stability, Moderate to Extreme",0-9,,20.5,
RHSUMMARY,SOILSITE_MODERATE,numeric,,2,31,32,"Calculated Indicator Summary, Soil/Site Stability, Moderate",0-9,,20.5,
RHSUMMARY,SOILSITE_SLIGHT_TO_MODERATE,numeric,,2,34,35,"Calculated Indicator Summary, Soil/Site Stability, Slight to Moderate",0-9,,20.5,
RHSUMMARY,SOILSITE_NONE_TO_SLIGHT,numeric,,2,37,38,"Calculated Indicator Summary, Soil/Site Stability, None to Slight",0-9,,20.5,
RHSUMMARY,BIOTIC_EXTREME,numeric,,2,40,41,"Calculated Indicator Summary, Biotic Integrity, Extreme",0-9,,20.5,
RHSUMMARY,BIOTIC_MODERATE_TO_EXTREME,numeric,,2,43,44,"Calculated Indicator Summary, Biotic Integrity, Moderate to Extreme",0-9,,20.5,
RHSUMMARY,BIOTIC_MODERATE,numeric,,2,46,47,"Calculated Indicator Summary, Biotic Integrity, Moderate",0-9,,20.5,
RHSUMMARY,BIOTIC_SLIGHT_TO_MODERATE,numeric,,2,49,50,"Calculated Indicator Summary, Biotic Integrity, Slight to Moderate",0-9,,20.5,
RHSUMMARY,BIOTIC_NONE_TO_SLIGHT,numeric,,2,52,53,"Calculated Indicator Summary, Biotic Integrity, None to Slight",0-9,,20.5,
RHSUMMARY,HYDROLOGIC_EXTREME,numeric,,2,55,56,"Calculated Indicator Summary, Hydrologic Function, Extreme",0-11,,20.5,
RHSUMMARY,HYDROLOGIC_MODERATE_TO_EXTREME,numeric,,2,58,59,"Calculated Indicator Summary, Hydrologic Function, Moderate to Extreme",0-11,,20.5,
RHSUMMARY,HYDROLOGIC_MODERATE,numeric,,2,61,62,"Calculated Indicator Summary, Hydrologic Function, Moderate",0-11,,20.5,
RHSUMMARY,HYDROLOGIC_SLIGHT_TO_MODERATE,numeric,,2,64,65,"Calculated Indicator Summary, Hydrologic Function, Slight to Moderate",0-11,,20.5,
RHSUMMARY,HYDROLOGIC_NONE_TO_SLIGHT,numeric,,2,67,68,"Calculated Indicator Summary, Hydrologic Function, None to Slight",0-11,,20.5,
SOILDISAG,SURVEY,numeric,,4,1,4,Sample survey year,,,,
SOILDISAG,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
SOILDISAG,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
SOILDISAG,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
SOILDISAG,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
SOILDISAG,VEG1,character,,2,25,26,Dominant cover class (canopy or no canopy) of sample at 15 foot mark of northeast to southwest transect,soildisagveg,,11.5,
SOILDISAG,VEG2,character,,2,28,29,Dominant cover class (canopy or no canopy) of sample at 30 foot mark of northeast to southwest transect,soildisagveg,,11.5,
SOILDISAG,VEG3,character,,2,31,32,Dominant cover class (canopy or no canopy) of sample at 45 foot mark of northeast to southwest transect,soildisagveg,,11.5,
SOILDISAG,VEG4,character,,2,34,35,Dominant cover class (canopy or no canopy) of sample at 60 foot mark of northeast to southwest transect,soildisagveg,,11.5,
SOILDISAG,VEG5,character,,2,37,38,Dominant cover class (canopy or no canopy) of sample at 75 foot mark of northeast to southwest transect,soildisagveg,,11.5,
SOILDISAG,VEG6,character,,2,40,41,Dominant cover class (canopy or no canopy) of sample at 90 foot mark of northeast to southwest transect,soildisagveg,,11.5,
SOILDISAG,VEG7,character,,2,43,44,Dominant cover class (canopy or no canopy) of sample at 105 foot mark of northeast to southwest transect,soildisagveg,,11.5,
SOILDISAG,VEG8,character,,2,46,47,Dominant cover class (canopy or no canopy) of sample at 120 foot mark of northeast to southwest transect,soildisagveg,,11.5,
SOILDISAG,VEG9,character,,2,49,50,Dominant cover class (canopy or no canopy) of sample a 135 foot mark of northeast to southwest transect,soildisagveg,,11.5,
SOILDISAG,VEG10,character,,2,52,53,Dominant cover class (canopy or no canopy) of sample at 15 foot mark of northwest to southeast transect,soildisagveg,,11.5,
SOILDISAG,VEG11,character,,2,55,56,Dominant cover class (canopy or no canopy) of sample at 30 of northwest to southeast transect,soildisagveg,,11.5,
SOILDISAG,VEG12,character,,2,58,59,Dominant cover class (canopy or no canopy) of sample at 45 of northwest to southeast transect,soildisagveg,,11.5,
SOILDISAG,VEG13,character,,2,61,62,Dominant cover class (canopy or no canopy) of sample at 60 of northwest to southeast transect,soildisagveg,,11.5,
SOILDISAG,VEG14,character,,2,64,65,Dominant cover class (canopy or no canopy) of sample at 75 of northwest to southeast transect,soildisagveg,,11.5,
SOILDISAG,VEG15,character,,2,67,68,Dominant cover class (canopy or no canopy) of sample at 90 of northwest to southeast transect,soildisagveg,,11.5,
SOILDISAG,VEG16,character,,2,70,71,Dominant cover class (canopy or no canopy) of sample at 105 of northwest to southeast transect,soildisagveg,,11.5,
SOILDISAG,VEG17,character,,2,73,74,Dominant cover class (canopy or no canopy) of sample at 120 of northwest to southeast transect,soildisagveg,,11.5,
SOILDISAG,VEG18,character,,2,76,77,Dominant cover class (canopy or no canopy) of sample at 135 of northwest to southeast transect,soildisagveg,,11.5,
SOILDISAG,STABILITY1,numeric,,1,79,79,Stability class (0-6) of sample at 15 foot mark of northeast to southwest transect,0-6,,11.5,
SOILDISAG,STABILITY2,numeric,,1,81,81,Stability class (0-6) of sample at 30 foot mark of northeast to southwest transect,0-6,,11.5,
SOILDISAG,STABILITY3,numeric,,1,83,83,Stability class (0-6) of sample at 45 foot mark of northeast to southwest transect,0-6,,11.5,
SOILDISAG,STABILITY4,numeric,,1,85,85,Stability class (0-6) of sample at 60 foot mark of northeast to southwest transect,0-6,,11.5,
SOILDISAG,STABILITY5,numeric,,1,87,87,Stability class (0-6) of sample at 75 foot mark of northeast to southwest transect,0-6,,11.5,
SOILDISAG,STABILITY6,numeric,,1,89,89,Stability class (0-6) of sample at 90 foot mark of northeast to southwest transect,0-6,,11.5,
SOILDISAG,STABILITY7,numeric,,1,91,91,Stability class (0-6) of sample at 105 foot mark of northeast to southwest transect,0-6,,11.5,
SOILDISAG,STABILITY8,numeric,,1,93,93,Stability class (0-6) of sample at 120 foot mark of northeast to southwest transect,0-6,,11.5,
SOILDISAG,STABILITY9,numeric,,1,95,95,Stability class (0-6) of sample a 135 foot mark of northeast to southwest transect,0-6,,11.5,
SOILDISAG,STABILITY10,numeric,,1,97,97,Stability class (0-6) of sample at 15 foot mark of northwest to southeast transect,0-6,,11.5,
SOILDISAG,STABILITY11,numeric,,1,99,99,Stability class (0-6) of sample at 30 of northwest to southeast transect,0-6,,11.5,
SOILDISAG,STABILITY12,numeric,,1,101,101,Stability class (0-6) of sample at 45 of northwest to southeast transect,0-6,,11.5,
SOILDISAG,STABILITY13,numeric,,1,103,103,Stability class (0-6) of sample at 60 of northwest to southeast transect,0-6,,11.5,
SOILDISAG,STABILITY14,numeric,,1,105,105,Stability class (0-6) of sample at 75 of northwest to southeast transect,0-6,,11.5,
SOILDISAG,STABILITY15,numeric,,1,107,107,Stability class (0-6) of sample at 90 of northwest to southeast transect,0-6,,11.5,
SOILDISAG,STABILITY16,numeric,,1,109,109,Stability class (0-6) of sample at 105 of northwest to southeast transect,0-6,,11.5,
SOILDISAG,STABILITY17,numeric,,1,111,111,Stability class (0-6) of sample at 120 of northwest to southeast transect,0-6,,11.5,
SOILDISAG,STABILITY18,numeric,,1,113,113,Stability class (0-6) of sample at 135 of northwest to southeast transect,0-6,,11.5,
SOILHORIZON,SURVEY,numeric,,4,1,4,Sample survey year,,,,
SOILHORIZON,STATE,numeric,,2,6,7,Numerical FIPS state code,,,,
SOILHORIZON,COUNTY,numeric,,3,9,11,Numerical FIPS county code,,,,
SOILHORIZON,PSU,character,,7,13,19,Primary sampling unit identifier,,,,
SOILHORIZON,POINT,numeric,,3,21,23,Point numeric within the segment,"1, 2, or 3",,,
SOILHORIZON,SEQNUM,numeric,,1,25,25,Sequence numeric,,,,
SOILHORIZON,DEPTH,numeric,,2,27,28,Soil horizon - Depth in inches from the soil surface,,,7.6,
